Index,ScientificName
0,Eucalyptus carnea
1,Eucalyptus microcorys
2,Angophoraphitonia excelsa
3,Malaleuca quinquenervia
5,Eucalyptus tereticornis
9,Eucalyptus siderophloia
12,Eucalyptus racemosa
18,Corymbia trachyphloia
20,Angophoralocasuarina littoralis
21,Eucalyptus seeana
22,Angophoraacia sp.
26,Angophoragophara woodsiana
27,Lophostemon suaveolens
28,Eucalyptus propinqua
29,Lophostemon confertus
31,Eucalyptus trachyphloia
33,Corymbia intermedia
37,Eucalyptus tindaliae
51,Eucalyptus moluccana
56,Corymbia citriodora
62,Eucalyptus resinifera
79,Eucalyptus sp
87,Corymbiannamomum camphora
131,Eucalyptus robusta
138,Eucalyptus fibrosa
157,Eucalyptus maculata
168,Eucalyptus dunnii
170,Grevillea robusta
172,Corymbiallistemon sp.
175,Corymbia torelliana 
189,Eucalyptus grandis
190,Eucalyptus curtisii
203,Corymbia maculata
204,Eucalyptus crebra
210,Angophora leiocarpa
227,Eucalyptus acmeniodes
231,Corymbia henryi
277,Eucalyptus melanophloia
285,Corymbia tessellaris
288,Eucalyptus major
366,Corymbiasuarina glauca
367,Angophoraacia concurrens
404,Eucalyptus eugenioides
426,Ficus sp.
460,Glochidion ferdinandi
461,Ficus benjamina
481,Ficus watkinsiana
482,Ficus macrophylla
501,Melaleuca sp
508,Lophostemon sp
516,Eucalyptus pilularis
546,Eucalyptus intermedia
548,Melaleuca leucadendra
593,Jacaranda sp.
595,Eucalyptus punctata
646,On ground
